UCL_CODE11,UCL_NAME11,HubDist
121112,Townsend (L),0.021031916122079
121113,Trangie (L),0.016548114729800
121114,Uranquinty (L),0.017227059372738
121115,Walla Walla (L),0.017232520872364
121116,Wallabi Point (L),0.020911169795943
121117,Wallaga Lake (L),0.020265631697560
121118,Wallalong (L),0.020234561084645
121119,Wardell (L),0.021205505560525
121120,Waterview Heights (L),0.020716815433957
121121,Wilcannia (L),0.012103289166621
121122,Wilton (L),0.019875299595925
121123,Wongarbon (L),0.017386168733382
121124,Woodburn (L),0.021100341050680
121125,Woombah (L),0.021069324995945
121126,Wooroowoolgan (L),0.020750173202084
121127,Wyalong (L),0.016613201092068
121128,Yanco (L),0.016205294254838
121129,Yanderra (L),0.019797961009991
121130,Yerrinbool (L),0.019785083130088
122001,Adaminaby (L),0.018950503539591
122002,Agnes Banks (L),0.019663050672657
122003,Ardlethan (L),0.016510990633915
122004,Ariah Park (L),0.016787601175275
122005,Ashford (L),0.018906291874437
122006,Ashley (L),0.017634075170351
122007,Attunga (L),0.018969919536119
122008,Awaba (L),0.020231510223685
122009,Balmoral (L),0.019750151394246
122010,Barellan (L),0.016192469669614
122011,Barmedman (L),0.016845050198840
122012,Beelbangera (L),0.015765628985329
122013,Bemboka (L),0.019957759601540
122014,Berrima (L),0.019652747757885
122015,Bilbul (L),0.015806126375875
122016,Binalong (L),0.018197918290807
122017,Binnaway (L),0.017727726939668
122018,Bodalla (L),0.020110923640956
122019,Bonalbo (L),0.020344137426532
122020,Bonny Hills - West (L),0.021045222774830
122021,Bonville (L),0.020986139302187
122022,Bonville - East (L),0.021016769789929
122023,Boomerang Beach - Blueys Beach (L),0.020972671466034
122024,Bowning (L),0.018396718228914
122025,Broadwater (L),0.021179192053830
122026,Broke (L),0.019730675476254
122027,Brooms Head (L),0.021166757668087
122028,Bundarra (L),0.019037546045383
122029,Burrawang (L),0.019860807255549
122030,Candelo (L),0.020136292114975
122031,Caniaba (L),0.020939724824905
122032,Captains Flat (L),0.019341869968887
122033,Carcoar (L),0.018206213430211
122034,Cargo (L),0.017827596814213
122035,Clarenza (L),0.020819491123635
122036,Cobargo (L),0.020115580271299
122037,Collarenebri (L),0.016463827163779
122038,Conjola Park (L),0.020071921030239
122039,Coomba Park (L),0.020880324502124
122040,Coopernook (L),0.020911186958683
122041,Coramba (L),0.020955225081994
122042,Couridjah (L),0.019750570902048
122043,Cudal (L),0.017709592649759
122044,Cumnock (L),0.017584158437141
122045,Currarong (L),0.020312767946549
122046,Dangar Island (L),0.020124725988603
122047,Deepwater (L),0.019669467966151
122048,Delegate (L),0.019644767381518
122049,Delungra (L),0.018700187244677
122050,Dunoon (L),0.021028871182141
122051,Elizabeth Beach (L),0.020961114059806
122052,Emmaville (L),0.019418728248200
122053,Euston (L),0.013152179509249
122054,Ewingsdale (L),0.021271924003500
122055,Fairy Hill (L),0.020728399989230
122056,Falls Creek (L) (NSW),0.020091077960237
122057,Fishermans Paradise (L),0.020064850601615
122058,Gerroa (L),0.020205336410622
122059,Geurie (L),0.017467082311919
122060,Gilgai (L),0.019025029995349
122061,Glenreagh (L),0.020892145856805
122062,Goodooga (L),0.015280625359862
122063,Goolgowi (L),0.015286468115031
122064,Gresford - East Gresford (L),0.020052166533056
122065,Gulargambone (L),0.016790993175543
122066,Gundaroo (L),0.018919212739561
122067,Gunning (L),0.018810621483898
122068,Hallidays Point - West (L),0.020871067744154
122069,Hat Head (L),0.021152261078703
122070,Hinton (L),0.020243368776823
122071,Hyland Park (L),0.021012590054337
122072,Ivanhoe (L),0.013539328824008
122073,Kangaroo Valley (L),0.019929574219156
122074,Khancoban (L),0.018506501405693
122075,Kioloa (L),0.020150082539177
122076,Kitchener (L),0.020023248017469
122077,Koorawatha (L),0.017847587001743
122078,Kurmond (L),0.019619106605521
122079,Lake Conjola (L),0.020118723827918
122080,Lakewood Estate (L),0.019067176599143
122081,Lansdowne (L),0.020821459710755
122082,Lennox Head - West (L),0.021297788920629
122083,Leppington (L),0.019885360403206
122084,Linden (L),0.019494275096558
122085,Lochinvar (L),0.020048351582422
122086,Lord Howe Island (L),0.027154685243161
122087,Luddenham (L),0.019738580457174
122088,Lyndhurst (L),0.018136357023735
122089,Maloneys Beach (L),0.020103476023006
122090,Manildra (L),0.017629172297163
122091,Manning Point (L),0.020973312362450
122092,Marrangaroo (L),0.019044995647359
122093,Menangle Park (L),0.019872944710616
122094,Mendooran (L),0.017561347766722
122095,Menindee (L),0.011635313571101
122096,Mogo (L),0.020041914228865
122097,Moonbi (L),0.019216077723616
122098,Mooney Mooney (L),0.020079131627260
122099,Moulamein (L),0.014496784096996
122100,Mulbring (L),0.020138563541098
122101,Mungindi (NSW Part) (L),0.016773815462319
122102,Mylestom (L),0.021021797121266
122103,Nana Glen (L),0.020937941579852
122104,Neath (L),0.020047456549730
122105,Nelligen (L),0.019981662490189
122106,Nemingha (L),0.019160468019440
122107,Nimbin (L),0.020931411321395
122108,Nimmitabel (L),0.019653393544627
122109,North Arm Cove (L),0.020598280609756
122110,North Shore (L),0.021094840222449
122111,Nundle (L),0.019379062069421
122112,Oaklands (L),0.016500069149922
122113,Orchard Hills (L),0.019755348537262
122114,Otford (L),0.020153462484853
122115,Pallamallawa (L),0.017987559330489
122116,Paterson (L),0.020170961183786
122117,Patonga (L),0.020158488675528
122118,Perisher Village (L),0.018843715217407
122119,Perthville (L),0.018537424622597
122120,Picton - West (L),0.019736630153271
122121,Pindimar (L),0.020661443422774
122122,Putta Bucca - Bombira (L),0.018250558853912
122123,Rainbow Flat (L),0.020825958085030
122124,Red Head (L),0.020896957415453
122125,Red Rock (L),0.021116701834291
122126,Riverside (L),0.021061301468225
122127,San Isidore (L),0.017230058007079
122128,Seaham (L),0.020296049220710
122129,Seahampton (L),0.020229539596525
122130,South Durras (L),0.020116178832137
122131,South Pambula (L),0.020359171985514
122132,Spring Hill (L),0.018133563840691
122133,Stanwell Tops (L),0.020128725194365
122134,Stockinbingal (L),0.017446032773887
122135,Sutton (L),0.018973470942233
122136,Talbingo (L),0.018335171981756
122137,Tapitallee (L),0.019984406997035
122138,Taralga (L),0.019146377925462
122139,Tarcutta (L),0.017698096755941
122140,Tarraganda (L),0.020226312243252
122141,Telegraph Point (L),0.020959937552731
122142,Thredbo Village (L),0.018814935245796
122143,Tintenbar (L),0.021233190966085
122144,Tomago (L),0.020355968306572
122145,Tomerong (L),0.020115658758843
122146,Toomelah (L),0.018203765141217
122147,Tottenham (L),0.016032441516354
122148,Trundle (L),0.016614174141677
122149,Tucabia (L),0.020949881317433
122150,Tullamore (L),0.016376585678629
122151,Tumbulgum (L),0.021134792397440
122152,Tyalgum (L),0.020886774196220
122153,Uki (L),0.021021087903005
122154,Ulmarra (L),0.020866953019746
122155,Ungarie (L),0.016250609570167
122156,Urana (L),0.016473055695587
122157,Urbenville (L),0.020240069760539
122158,Wallabadah (L),0.019105066279163
122159,Waterfall (L),0.020113865449259
122160,Whitton (L),0.015966368204068
122161,Wingello (L),0.019576332856715
122162,Wolumla (L),0.020269417785632
122163,Woodenbong (L),0.020295955158098
122164,Woodstock (L),0.017988834249610
122165,Wooli (L),0.021134679279545
122166,Woollamia (L),0.020159185133488
122167,Wooloweyah (L),0.021156501179514
122168,Yarramundi (L),0.019620746961361
122169,Yeoval (L),0.017421867418394
201001,Melbourne,0.017088075118216
203001,Geelong,0.016722791190886
211001,Albury - Wodonga (Wodonga Part),0.017414188337259
211002,Ballarat,0.015963496842175
211003,Bendigo,0.015727545815004
212001,Melton,0.016549481511988
212002,Mildura - Buronga (Mildura Part),0.012453042997349
212003,Pakenham,0.017497213765842
212004,Shepparton - Mooroopna,0.016367864742902
212005,Sunbury,0.016600011184083
212006,Traralgon,0.018374422269445
212007,Warrnambool,0.015613939861031
213001,Bacchus Marsh,0.016447230681096
213002,Bairnsdale,0.018999602474572
213003,Colac,0.016333836983812
213004,Drysdale - Clifton Springs,0.016892241384577
213005,Echuca - Moama (Echuca Part),0.015693071927391
213006,Horsham,0.014200795832285
213007,Lara,0.016672395865192
213008,Moe - Newborough,0.018164580396118
213009,Morwell,0.018312737170579
213010,Ocean Grove - Barwon Heads,0.016924925625429
213011,Sale,0.018743009211705
213012,Torquay - Jan Juc,0.016822682895869
213013,Wangaratta,0.017071612613203
213014,Warragul,0.017898170288031
214001,Ararat,0.015110446229228
214002,Benalla,0.016931269478973
214003,Castlemaine,0.015884835874018
214004,Cobram,0.016283124508255
214005,Corowa - Wahgunyah (Wahgunyah Part),0.016954451153393
214006,Drouin,0.017804801100510
214007,Gisborne,0.016442071603369
214008,Hamilton,0.014845131215056
214009,Healesville,0.017260511083595
214010,Kilmore,0.016590565643090
214011,Kyabram,0.016041215167751
214012,Lakes Entrance,0.019324430325060
214013,Leopold,0.016834186723844
214014,Maryborough (Vic.),0.015519221804355
214015,Portland (Vic.),0.015056473820141
214016,Seymour,0.016568586704732
214017,Stawell,0.014831582450616
214018,Swan Hill,0.014255890535815
214019,Wallan,0.016685761315717
214020,Wonthaggi,0.017934975048575
214021,Yarrawonga - Mulwala (Yarrawonga Part),0.016619454631172
215001,Aireys Inlet - Fairhaven,0.016763591843177
215002,Alexandra,0.017104394207659
215003,Anglesea,0.016789740563930
215004,Apollo Bay,0.016684271113576
215005,Ballan,0.016254122989338
215006,Balnarring - Balnarring Beach,0.017440007706731
215007,Bannockburn,0.016530372143397
215008,Baranduda,0.017506609217390
215009,Barham - Koondrook (Koondrook Part),0.014894811492591
215010,Beaconsfield Upper,0.017397989287134
215011,Beechworth,0.017390898287578
215012,Blind Bight,0.017486915207044
215013,Bright,0.017819178740039
215014,Broadford,0.016607376139716
215015,Bunyip,0.017693542585577
215016,Camperdown,0.015950404823062
215017,Cape Woolamai,0.017697860506899
215018,Casterton,0.014327337664704
215019,Churchill,0.018365066365126
215020,Cobden,0.015970107667100
215021,Cohuna,0.015074714323582
215022,Corryong,0.018308635255996
215023,Cowes,0.017577722177930
215024,Creswick,0.015887201888878
215025,Daylesford - Hepburn Springs,0.016019213294868
215026,Diggers Rest,0.016631218974992
215027,Dimboola,0.013887493226543
215028,Donald,0.014508965767007
215029,Euroa,0.016722163683617
215030,Foster,0.018425128730098
215031,Garfield,0.017657645283520
215032,Heathcote,0.016166889710169
215033,Heyfield,0.018435769241698
215034,Heywood,0.014895177912619
215035,Inverloch,0.018054241993815
215036,Kerang,0.014804949170693
215037,Koo Wee Rup,0.017589598669286
215038,Koroit,0.015482684329701
215039,Korumburra,0.017993840424689
215040,Kyneton,0.016185318549645
215041,Lancefield,0.016408982372679
215042,Lang Lang,0.017694157530749
215043,Leongatha,0.018118185936522
215044,Longwarry,0.017740951474592
215045,Lorne,0.016737247613846
215046,Macedon,0.016392360674004
215047,Maffra,0.018579988991063
215048,Maldon,0.015726087893139
215049,Mansfield,0.017313819395295
215050,Merbein,0.012366287358856
215051,Millgrove,0.017419659604025
215052,Mirboo North,0.018227578832741
215053,Mortlake,0.015613092868774
215054,Mount Beauty - Tawonga South,0.017989014584179
215055,Myrtleford,0.017541295830106
215056,Nagambie,0.016418576767597
215057,Nathalia,0.016007239175777
215058,Nhill,0.013540684838293
215059,Numurkah,0.016219876527713
215060,Orbost,0.019609690123143
215061,Ouyen,0.013134820792966
215062,Paynesville,0.019129572861495
215063,Point Lonsdale - Queenscliff,0.017015331324380
215064,Port Fairy,0.015461871541256
215065,Portarlington,0.016921255733036
215066,Red Cliffs,0.012553654363183
215067,Riddells Creek,0.016487815191996
215068,Robinvale,0.013183871762777
215069,Rochester,0.015795357071018
215070,Romsey,0.016468307654866
215071,Rosedale,0.018545024889623
215072,Rutherglen,0.017026680411600
215073,San Remo,0.017729545937622
215074,Seville,0.017285832108603
215075,St Arnaud,0.014875816549515
215076,St Leonards,0.017006605097996
215077,Stratford,0.018663412757693
215078,Tatura,0.016262514009639
215079,Terang,0.015799963609394
215080,Tongala,0.015924528398983
215081,Trafalgar,0.018097269634457
215082,Wandong - Heathcote Junction,0.016688734107005
215083,Warburton,0.017454553184348
215084,Warracknabeal,0.013999102107180
215085,Whittlesea,0.016856588471874
215086,Winchelsea,0.016537379889185
215087,Wonga Park,0.017120045827421
215088,Woodend,0.016312142660203
215089,Woori Yallock - Launching Place,0.017344138623898
215090,Yallourn North,0.018218910671543
215091,Yarra Glen,0.017143864387204
215092,Yarra Junction - Wesburn,0.017415746975583
215093,Yarragon,0.018024880414827
215094,Yarram,0.018722579451916
215095,Yea,0.016892222039865
221001,Allansford (L),0.015702679213641
221002,Avenel (L),0.016545423217118
221003,Avoca (L),0.015355058153906
221004,Barnawartha (L),0.017231276814166
221005,Batesford (L),0.016633356187673
221006,Beaufort (L),0.015530669116726
221007,Birchip (L),0.014192462187544
221008,Boolarra (L),0.018298132931816
221009,Boort (L),0.014887562907947
221010,Briagolong (L),0.018577456887982
221011,Bruthen (L),0.019091191196740
221012,Bushfield - Woodford (L),0.015590575704019
221013,Cabarita (L),0.012409683801912
221014,Cannons Creek (L),0.017465465607389
221015,Cape Paterson (L),0.017999680575007
221016,Cardigan Village (L),0.015824662187389
221017,Carisbrook (L),0.015569174961918
221018,Charlton (L),0.014706012118483
221019,Chiltern (L),0.017193387401683
221020,Clunes (L) (Vic.),0.015709781887616
221021,Coleraine (L),0.014519079891057
221022,Corinella (L),0.017691105216700
221023,Coronet Bay (L),0.017713900952418
221024,Dunolly (L),0.015386252619344
221025,Eagle Point (L),0.019094365263914
221026,East Warburton (L),0.017491112671362
221027,Edenhope (L),0.013814490923803
221028,Eildon (L),0.017286957053406
221029,Elmore (L),0.015808758501165
221030,Flinders (L),0.017431022247223
221031,Gembrook (L),0.017471522992876
221032,Glengarry (L),0.018362652404558
221033,Grantville (L),0.017761741643573
221034,Greendale (L),0.016280596458000
221035,Hopetoun (L) (Vic.),0.013614459947878
221036,Hopetoun Park (L),0.016520104889004
221037,Indented Head (L),0.016969197601276
221038,Inglewood (L) (Vic.),0.015298335571554
221039,Inverleigh (L),0.016479768294465
221040,Kaniva (L),0.013292810095433
221041,Kinglake (L),0.017044353573083
221042,Kinglake West (L),0.016940377930565
221043,Lake Boga (L),0.014402366029027
221044,Lake Tyers Beach (L),0.019391095071559
221045,Lethbridge (L),0.016441155026186
