UCL_CODE11,UCL_NAME11,fraction_with_internet,score_internet
114009,Glen Innes,0.6311431623931624,0.6916936300039153
114010,Gunnedah,0.6548839719373988,0.7177120798760775
114011,Helensburgh,0.8808271994391869,0.965331796792471
114012,Inverell,0.6565635451505016,0.7195527875979568
114013,Leeton,0.6757322175732218,0.7405604597085957
114014,Lennox Head,0.8488063660477454,0.9302389560488687
114015,Medowie,0.7948985992055195,0.8711593982649947
114016,Merimbula,0.7647932131495228,0.8381657686029342
114017,Moree,0.5814622913068509,0.6372464869292022
114018,Moss Vale,0.77495462794918335,0.8493020468794853
114019,Mudgee,0.6996383748138694,0.7667601203664532
114020,Murwillumbah,0.7158363484553298,0.7845120914791341
114021,Nambucca Heads,0.6443640747438216,0.7061829272041191
114022,Narrabri,0.6480582524271845,0.7102315160567588
114023,Pottsville,0.7936569328949913,0.8697986092574321
114024,Salamander Bay - Soldiers Point,0.7524223187437353,0.8246080381737739
114025,Scone,0.698595146871009,0.765616807461054
114026,St Georges Basin - Sanctuary Point,0.7252957550452331,0.7948790124436954
114027,Summerland Point - Gwandalan,0.8053571428571429,0.8826213112729967
114028,Tumut,0.6501726121979287,0.7125487227890869
114029,Wauchope,0.7380666826577117,0.8088751543733608
114030,Yamba,0.702323206535614,0.7697025288566626
114031,Yarrawonga - Mulwala (Mulwala Part),0.6762865090403338,0.7411679286630453
114032,Yass,0.7371769383697813,0.8079000500024915
114033,Young,0.6789122137404581,0.7440455376170275
115001,Aberdeen,0.6719319562575942,0.7363956097965682
115002,Alstonville,0.7905053598774885,0.8663446813523383
115003,Anna Bay,0.7493297587131368,0.8212187848299546
115004,Appin,0.8692025358692025,0.952591888921477
115005,Arrawarra,0.7319548152402834,0.8021769280247877
115006,Balranald,0.6098535286284953,0.6683615162497252
115007,Bangalow,0.8124428179322964,0.8903867702144788
115008,Bargo,0.7871362940275651,0.8626523948374698
115009,Barham - Koondrook (Barham Part),0.6478823941197059,0.7100387862954081
115010,Barooga,0.6683489545782264,0.732468862925835
115011,Barraba,0.7009892712832659,0.768240618830753
115012,Basin View,0.7252957550452331,0.7948790124436954
115013,Batlow,0.655746229849194,0.7186570608891771
115014,Bega,0.7245762711864406,0.794090502907871
115015,Bellingen,0.7881794650560828,0.8637956453682913
115016,Bermagui,0.7130972189208462,0.7815101759651106
115017,Berry,0.7506589351607802,0.8226754795020478
115018,Bingara,0.5970328789093825,0.6543108819853907
115019,Blackheath,0.7999219968798752,0.8766647295105288
115020,Blayney,0.7105633802816902,0.7787332464971333
115021,Boat Harbour,0.7493297587131368,0.8212187848299546
115022,Bombala,0.62890625,0.6892421132238548
115023,Bonny Hills,0.7265732344050564,0.7962790503246426
115024,Boorowa,0.6509704104358893,0.7134230600109833
115025,Bourke,0.5143380109823062,0.5636824528310841
115026,Bowen Mountain,0.837890625,0.9182759831460674
115027,Bowraville,0.7346278317152104,0.8051063877397466
115028,Braidwood,0.6792114695340502,0.7443735033441449
115029,Branxton,0.7990679824561403,0.8757287828473517
115030,Broulee - Mossy Point,0.7514005602240896,0.8234882544201777
115031,Brunswick Heads,0.766721044045677,0.8402785512963858
115032,Bulahdelah,0.6890275611024441,0.7551313288486596
115033,Bundanoon,0.8148423005565862,0.8930164538511248
115034,Bundeena,0.8053743549800408,0.8826401746885841
115035,Bungendore,0.8359402155022593,0.9161384557103412
115036,Buxton,0.7982334603394527,0.8748141985396941
115037,Byron Bay,0.8124428179322964,0.8903867702144788
115038,Callala Bay,0.7468099395567495,0.8184572198426606
115039,Cambewarra Village,0.766090297790586,0.8395872926520856
115040,Canowindra,0.6774766770324301,0.7424722787183418
115041,Cobar,0.6237826755509995,0.6836269944673011
115042,Colo Vale,0.8157510938259601,0.8940124347202398
115043,Condobolin,0.5814564564564565,0.6372400922962721
115044,Coolamon,0.728656273199703,0.7985619312162692
115045,Coonabarabran,0.6183274021352313,0.6776483542847651
115046,Coonamble,0.5247410817031071,0.5750835709589799
115047,Coraki,0.6590236686390533,0.7222489298481587
115048,Corindi Beach,0.7319548152402834,0.8021769280247877
115049,Crookwell,0.6896825396825397,0.7558491446131895
115050,Culburra Beach - Orient Point,0.6882516188714154,0.7542809444502634
115051,Culcairn,0.7442401675587619,0.8156409096495333
115052,Dalmeny,0.7130972189208462,0.7815101759651106
115053,Denman,0.6850498338870432,0.7507719873541666
115054,Dorrigo,0.6654954321855235,0.7293415799578599
115055,Douglas Park,0.8692025358692025,0.952591888921477
115056,Dungog,0.7319942611190817,0.8022201582532373
115057,Eden,0.6604717655468192,0.7238359539441372
115058,Estella,0.8366619115549215,0.9169293896729823
115059,Evans Head,0.6574037316395395,0.720473579705217
115060,Fingal Bay,0.7524223187437353,0.8246080381737739
115061,Finley,0.6683489545782264,0.732468862925835
115062,Forest Hill,0.728656273199703,0.7985619312162692
115063,Frederickton,0.6180758017492711,0.6773726159188209
115064,Freemans Reach,0.837890625,0.9182759831460674
115065,Galston,0.8535879629629629,0.9354792887096257
115066,Gerringong,0.7954701441317776,0.871785775936987
115067,Gilgandra,0.614114968696642,0.6730317893754036
115068,Glossodia,0.837890625,0.9182759831460674
115069,Gloucester,0.6682027649769585,0.7323086482202104
115070,Greenwell Point,0.6882516188714154,0.7542809444502634
115071,Grenfell,0.6520076481835564,0.71455980803522
115072,Greta,0.7990679824561403,0.8757287828473517
115073,Gulgong,0.6468481375358166,0.7089053054411543
115074,Gulmarrad,0.702323206535614,0.7697025288566626
115075,Gundagai,0.6473429951690821,0.7094476386122698
115076,Guyra,0.6557377049180327,0.7186477180951301
115077,Harden - Murrumburrah,0.6509704104358893,0.7134230600109833
115078,Harrington,0.7025436598329536,0.769944131951759
115079,Hawks Nest,0.7514619883040936,0.8235555757731985
115080,Hay,0.575,0.6301642178046672
115081,Heddon Greta,0.712411400995325,0.7807585621971237
115082,Hill Top,0.8157510938259601,0.8940124347202398
115083,Holbrook,0.7442401675587619,0.8156409096495333
115084,Howlong,0.6762865090403338,0.7411679286630453
115085,Iluka,0.702323206535614,0.7697025288566626
115086,Jindabyne,0.6681391496410822,0.7322389297708662
115087,Jindera,0.7442401675587619,0.8156409096495333
115088,Junction Hill,0.6752597658818887,0.7400426820555185
115089,Junee,0.672587614018243,0.7371141699007192
115090,Kandos,0.6046065259117083,0.6626111277926068
115091,Karuah,0.7948985992055195,0.8711593982649947
115092,Kootingal,0.7009892712832659,0.768240618830753
115093,Kurrajong,0.837890625,0.9182759831460674
115094,Kyogle,0.6617369414726243,0.725222508027042
115095,Lake Cargelligo,0.5814564564564565,0.6372400922962721
115096,Lake Cathie,0.7265732344050564,0.7962790503246426
115097,Lemon Tree Passage,0.7609403254972875,0.8339432435009166
115098,Lightning Ridge,0.5240145743623716,0.5742873641240166
115099,Macksville,0.6857142857142857,0.7515001852080504
115100,Maclean,0.702323206535614,0.7697025288566626
115101,Malua Bay,0.742865059573289,0.8141338768702943
115102,Manilla,0.7009892712832659,0.768240618830753
115103,Milton,0.7309267404823298,0.8010502220670649
115104,Molong,0.75,0.8219533275713051
115105,Moruya,0.7322878745449454,0.8025419402964483
115106,Mullumbimby,0.7113251605370695,0.7795681102515161
115107,Murrumbateman,0.8246674727932285,0.9037842312029505
115108,Narooma,0.7130972189208462,0.7815101759651106
115109,Narrandera,0.6258038585209004,0.6858420852242884
115110,Narromine,0.6297591297591297,0.6901768163652346
115111,Nyngan,0.583616093068347,0.6396069196289231
115112,Oberon,0.6440042826552462,0.705788617464868
115113,Ocean Shores,0.766721044045677,0.8402785512963858
115114,Old Bar,0.7910652920962199,0.8669583322195392
115115,Picton,0.7982334603394527,0.8748141985396941
115116,Portland (NSW),0.664639708117969,0.7284037596314474
115117,Quirindi,0.6427221172022685,0.7043834439174386
115118,Richmond North,0.7575699866692058,0.830249561881204
115119,Robertson,0.8125,0.8904494382022472
115120,Sandy Beach - Emerald Beach,0.8443311337732453,0.9253343799692957
115121,Shoal Bay,0.7524223187437353,0.8246080381737739
115122,Shoalhaven Heads,0.7506589351607802,0.8226754795020478
115123,Silverdale - Warragamba,0.8269812462189957,0.906319982891691
115124,Skennars Head,0.8488063660477454,0.9302389560488687
115125,Smiths Lake,0.7522192203782323,0.8243854550039745
115126,South Golden Beach,0.766721044045677,0.8402785512963858
115127,South West Rocks,0.7019655034095468,0.7693105084903243
115128,Stanwell Park,0.8808271994391869,0.965331796792471
115129,Suffolk Park,0.7099125364431487,0.7780199621520419
115130,Sussex Inlet,0.6704545454545454,0.7347764594955606
115131,Tahmoor,0.7982334603394527,0.8748141985396941
115132,Tanilba Bay,0.7609403254972875,0.8339432435009166
115133,Tathra,0.7245762711864406,0.794090502907871
115134,Tea Gardens,0.7514619883040936,0.8235555757731985
115135,Temora,0.6661780872114328,0.730089727384699
115136,Tenterfield,0.6121311475409836,0.670857644841804
115137,The Oaks,0.8259471050750536,0.9051866285524356
115138,Thirlmere,0.7982334603394527,0.8748141985396941
